Project,Description,Supervisor,Skills,Lang
A Smart IoT Care Platform for Monitoring the Activities of Daily Living of Elderly People at their Homes,"The number of elderly people is rising rapidly and many of them prefer to stay at home living independently instead of staying at nursing homes. 
 
Smart Care solution (SCS) is a company whose work is focused on developing IoT platforms to support the well-being of elderly people at their homes.
 
SCS is working on the development of an application monitoring tool that use sensors technology to monitor the daily living activities of elderly people to improve their health and support their well-being.
 
The  selected candidate will work on the development of a smart IoT care application monitoring tool through participating in the:
?	Design and implementation of an IoT homecare monitoring platform that allows for sensors to be configured for data collection
?	Implement the back-end server for the monitoring system
?	Implement and deploy Internet of Things (IoT) solution at patients home for monitoring activities of daily living
?	Use the smart care platform to visualise and analyse collected data
?	Use semantic models to intelligently monitor activities and provide alerts",19,"Perseverance and motivation, Managing ambiguity ","Flutter + Dart, NoSQL DB"
Track the movements and activities of elderly people at home using a virtual animated character,"Using a gaming platform and sensors to create a virtual character that traces the movements and activates of an elderly person at home. The movements can be visualised either in real time or at a certain point in time during the day. Sensors data will capture the activates and store them in a NoSQL database. The stored sensors data can be queried to monitor and replay  certain activities, for example, how many time the person went to the toilet during a certain period in time.",19,,
Social Network Text Analysis Platform,"Gathering and managing data from diverse and heterogeneous datasets is central to many approaches to study systems behaviour. Users need to easily identify and gather the information they require using APIs and then integrate and analyse various data sets which can come from diverse information sources with a wide variety of formats and access methods.
 
The aim of this project is to develop a data integration platform that uses open source  text analysis libraries (e.g., spacy) for tokenising and categorising data from diverse social media. Extracted data will then be  analysed, linked, integrated and visualised through graph analysis techniques. The text analysis system will use  rich and flexible core data structures, which has the ability to bring together information from unstructured sources such twitter and news feeds and allow users to identify patterns (e.g., sentiment analysis through proving insight into positive or negative sentiments). ",20,,
Fitbit ,Develop a platform that uses Fitbit data to provide recommendations for elderly patients based on a determined patient?s profile. The project will use an existing platform to pull activities data using the Fitbit API and store this data into a NOSQL database. The extracted data will be the structured and modelled according to a patient profile to provide alerts and recommendation. ,20,,C++
Events Story Evolution Tracker,"Some news events go on for a number of years and are presented through different perspectives by different sources.

The objective of this project is to create a story evolution tracker to automatically identify sources and notify the user when new updates on the story are available.

The aim of this project is to develop a Story Evolution Tracker and  platform that uses open source  text analysis libraries (e.g., spacy) for tokenising and categorising data from diverse online media. Extracted data will then be  analysed, linked, integrated and composed into a timeline based story. The text analysis system will use  rich and flexible core data structures, which has the ability to bring together information from unstructured sources such as BBC, Sky news, Aljazeera news feeds and allow users to identify a timeline grouping of events.  ",20,,
Smart Irrigation Solution,"The aim of this project is to design and implement a realistic, robust and low cost irrigation system. The system will be composed of sensors that measures the levels of moist in the ground then triggers a pump that opens the correct valves to irrigate the plants. The application will also connect to a weather API to manage and more efficiently plans the irrigation settings. 

As part of this project a mobile App will be implemented to manage and control the application. Some background in electronics is required for this project.",21,,Java
Hand Gestures Recognition,"A project is about using neural network for recognising hand gestures. Build an automation tool that allows the user to control IoT devices using hand gestures. 
This project will use RTOS (Real Time Operating System)  libraries written in C Language to develop the application. Some background in electronics is required for this project.",22,,
Math Game,Interactive math game for children using a leap motion to help with and/or prevent math anxiety. ,23,,
Virtual Reality based drink driving simulator,"Summary: People do not always think about the consequences of their actions which can lead to unsafe and risky behaviours both to themselves and others. This project will look to develop an inexpensive virtual reality experience which simulates the affects that alcohol has on their sensory and motor coordination skills.     

Aim: To design, develop and evaluate a virtual reality simulator that will give the user insight into the simulated affects of alcohol consumption on their driving ability.  

Your role: See aims

Resources available: Unity or Unreal game engines are readily available. As this will be Google Cardboard based you will need this together with a compatible phone. 

Experience needed: Experience of C# / C++ programming as well as Unity / Unreal.  

Outcomes: The app will be available to the public in order to promote awareness of the risks associated with drink driving. ",2,,
Virtual Reality based road safety simulator,"Summary: Young newly qualified drivers do not always appreciate the dangers that face them when they take sole responsibility for driving. Distractions within the car for example not focussing on the driving or being distracted by fellow passengers can lead to higher probability of being involved in an accident.    

Aim: To design, develop and evaluate a virtual reality simulator that will give the user insight into the simulated effects of distraction on their driving ability.  

Your role: See aims

Resources available: Unity or Unreal game engines are readily available. As this will be Google Cardboard based you will need this together with a compatible phone. 

Experience needed: Experience of C# / C++ programming as well as Unity / Unreal.  

Outcomes: The app will be available to the public in order to promote awareness of the risks newly qualified drivers can experience. ",2,"Communication, Resilience",
Virtual reality for optometry training,"Summary: Optometrists are healthcare professionals who are responsible for providing primary vision care for example sight testing and correction as well as diagnosis, treatment, and management of changes to a person?s vision. This project will look at developing a simulated virtual reality training app that will teach the user the correct procedures used by optometrists for example in Visual Field Perimetry testing.  

Aim: To design, develop and evaluate a virtual reality simulator that teaches the user how to perform selected optometry examinations procedures

Your role: See aims

Resources available: Unity or Unreal game engines are readily available. As this will be Google Cardboard based you will need this together with a compatible phone. 

Experience needed: Experience of C# / C++ programming as well as Unity / Unreal.  

Outcomes: The app will be used as a proof of concept for engagement with the optometry profession. ",2,,
Secure remote telemonitoring and reporting system,"Summary: People living with long-term medical conditions require ongoing management of their conditions. Monitoring their progress and adherence to therapies is important for the clinical teams however this can be challenging outside of the clinical setting. This project will look to develop a secure and private cloud-based reporting dashboard for commonly used health outcome measures.  Patients will not be used in this project.

Aim: To design, develop and evaluate a secure remote telemonitoring and reporting system for people living with long term medical conditions for example rheumatoid arthritis.  

Your role: See aims

Resources available: Visual studio, databases and Microsoft Azure.

Experience needed: Experience of programming for cloud services, database development, reporting services and an interest in cybersecurity with respect to privacy, confidentiality and vulnerability testing.     

Outcomes: The app will be used as a proof of concept for engagement with clinical teams looking at secure and private clinical dashboards.  ",2,,
Work with Kainos,"1) Procedurally generated racing game 
It can be time consuming when developing games to produce enough levels so that players have variety and not get bored. One solution is to procedurally generate levels so there is an infinite number and players get a new experience each time they play. 
A racing game which is able to dynamically generate tracks for players to race on. It should be possible to set the ?difficulty? of generated tracks. Consider adding AI players and/or multiplayer support so players can compete with other racers. ",2,,
Work with Kainos,"3) Tabletop Gaming companion app

Games such as the table-top wargame ?Star Wars legion? or the collectible card game ?The Lord of The Rings LCG? requires players to manually go through hundreds of cards and pick manually which they want to use. They also need to know all restrictions the game has in terms of which cards can be picked with which and also their points costs. This is complicated and requires all players to understand every rule, as expected this often leads to mistakes being made and users unintentionally breaking the rules.
Develop an Android app or mobile friendly web application to be used as a list/deck builder for either ?Star Wars legion? or ?The Lord of The Rings LCG?. 
The app should be a database of all cards available and automatically apply all deck/list building restrictions. Decks/lists should then be able to be saved, shared, printed, upvoted/liked and searchable so other players can view them for inspiration.  


The app will drastically reduce set up time for both games and build a community among players to share ideas. It could also be used to track which decks/lists are successful competitively.",2,Team worker,
Modelling Change Readiness in Organisations with Machine Learning/Data Science Methods (Group Project - Part 2 - Understanding modelling),"This is an industrial project with ""Evolutian"" our industrial partners, and can potentially lead to a job opportunity. The project is best suited to motivated students with investigative minds and skills in Data Science/Artificial Intelligence/Machine Learning/Data Mining, and Computer Programming. 

Background: Recommeding changes in an organisation is a critical decision that can cost heavily if the recommendations are wrong. Typically human experts analyse the data and recommend decisions. This project is a part of a bigger project that will leverage real industrial data, and examine expert human knowledge to then automatically model organisational change using AI/Machine Learning/Data Science methods. 

This part of the project will research into modelling change readiness. Specifically: 
- access the Evolutian platform and understand its data inputs and outputs; 
- create a data pipeline (infrastructure to access data for subsequent analysis);
- understand the expert formula used by Evolutian for modelling change-scores? What/why/any better?
- Identify significant variables (correlations between input/output)
- find other datasets from external sources that can be used for modelling change readiness. 
- model change readiness via ML and then re-determining significant variables.
- compare human and ML based modelling process. ",3,,
Modelling Change Readiness in Organisations with Machine Learning/Data Science Methods (Group Project - Part 1 - Understanding Data),"This is an industrial project with ""Evolutian"" our industrial partners, and can potentially lead to a job opportunity. The project is best suited to motivated students with investigative minds and skills in Data Science/Artificial Intelligence/Machine Learning/Data Mining, and Computer Programming. 

Background: Recommeding changes in an organisation is a critical decision that can cost heavily if the recommendations are wrong. Typically human experts analyse the data and recommend decisions. This project is a part of a bigger project that will leverage real industrial data, and examine expert human knowledge to then automatically model organisational change using AI/Machine Learning/Data Science methods. 

This part of the project will understand data, and expert knowledge, and create data pipelines. Specifically: 
- access the Evolutian platform and understand its data inputs and outputs; 
- create a data pipeline (infrastructure to access data for subsequent analysis);
- create a data dictionary;
- categorise variability in data (manual or machine learning approaches like K-Means clustering); 
- show-case case studies from various categories (how different decisions are made for different clusters); 
- augment data: how can be enhance a limited amount of data by finding ranges of data that are decision invariant; 
- can we augment the data by understanding the mind of the expert? how the human decision making adds to the collected data?
- model organisational change readiness with Machine Learning techniques. ",3,,
Modelling Change Readiness in Organisations with Machine Learning/Data Science Methods (Group Project - Part 3 - Explaining AI decisions),"This is an industrial project with ""Evolutian"" our industrial partners, and can potentially lead to a job opportunity. The project is best suited to motivated students with investigative minds and skills in Data Science/Artificial Intelligence/Machine Learning/Data Mining, and Computer Programming. 

Background: Recommeding changes in an organisation is a critical decision that can cost heavily if the recommendations are wrong. Typically human experts analyse the data and recommend decisions. This project is a part of a bigger project that will leverage real industrial data, and examine expert human knowledge to then automatically model organisational change using AI/Machine Learning/Data Science methods. 

This part of the project will leverage eXplainable Artificial intelligence (XAI) to automatically explain the decisions made by AI methods. Specifically:
- understand state of the art in XAI especially see https://link.springer.com/article/10.1007/s10462-020-09833-6  ; 
- provide a clean implementation of the state of the art in XAI; 
- train AI models and then use the implemented XAI to explain the AI based decisions as proof of concept; 
- once satisfied, use the data from Evolutian to explain AI based decisions. ",3,,
Student Proposal,Machine-learning based summarisation system for online meetings (worked with supervisor on idea),4,,
Student Proposal,Machine learning system for detection of respiratory disease (worked with supervisor on idea),4,,
Student Proposal,"Forest fire detection and prediction
 device
?Create basic device with sensors.
?Create main hub system with basic features to read the data and give an alert.
? Have multiple sensors on a mesh network with a status map on the main system",4,,C
Student Proposal,"Student Learning Analytics system
This project would important as it would help students in their education and be beneficial not only to them but to  education staff as well, like teachers and supervisors. (worked with supervisor on idea)
",4,,
Student Proposal,Machine learning techniques for augmenting the process of diagnosing oncology patients (worked with supervisor on idea),4,,"JS + HTML5, CSS"
Student Proposal,Design and Development of a UI/UX Analytics Framework using relevant Machine Learning and Data Science Techniques  (worked with supervisor on idea),4,,
Student Proposal,I am trying to develop a system that uses machine learning to detect the current situation in a tabletop roleplaying game and automatically select and output appropriate music,4,,
Student Proposal,"processing techniques investigate the correlations between public sentiment and value within financial markets (with particular attention to FOREX markets)""",4,,
Student Proposal,"An application to mentor people through the app,to support them if they need help in areas like motivation,life etc.Like if they feel depress then the app will help them with the help of an agent or bot to solve their problem or need",5,,
?Evolution of Cross-Platform Mobile App Development Technologies?: A Benchmarked Comparative Evaluation of Cross-Platfrom development tools for Mobile Apps,"The project requires you to compare and evaluate contemporary programming frameworks for developing Cross-Platform Mobile Applications (e.g. iOS and Android). As each of these platforms are continually evolving ? particularly in terms of the diversity of their User Interfaces ? it is in the interest of developers to examine how ?common? support for various features is maintained. 

It is proposed that for the product, the project develops a cross-platform mobile app ? to cover features such as commonly used UI components, UI Navigation, data management (on and off device), Web Services etc. The developed product can then be evaluated on how well it uses features of the platforms. 
The suggested framework for development is Facebook?s React Native, which uses JavaScript as it?s programming language, along with JSX as a UI markup language. However, if other cross-platform frameworks are of interest ? this can be discussed.

Skills Required: SOFTWARE DESIGN, JAVASCRIPT PROGRAMMING",5,,
?Using Sentiment Analysis for Song recommendations?: Building a Music Recommendation system based on Song Lyrics,"The project requires you to research and practically evaluate the state-of-the-art for Sentiment Analysis algorithms. 

It is proposed that, for the product, the project develops an intuitive Mobile app that uses various web based resources (APIs) for mining data about song lyrics, based on initial user preferences, to then recommend music from other songs/artists that reflect same/similar Sentiments to the user?s exisitng preferences.

There are many APIs, freely available through web services, that provide pre-coded services for Sentiment Analysis (e.g. https://www.ibm.com/watson/services/tone-analyzer/). There are also many existing databases for song lyrics, that also provide web based APIs (e.g. https://developer.musixmatch.com/)

Skills Required: SOFTWARE DESIGN, ANDROID / iOS MOBILE DEVICE PROGRAMMING",5,,
?Maximising code sharing between Mobile and Web applications?: Building a Data focussed Application architecture with a common code-base across Mobile and Web Platfroms,"The project requires you to research and  practically evaluate the capabilities of a chosen programming frameworks across the Web and Mobile platforms. 

It is proposed that, for the product, the project develops an app infrastructure that has a simple backend to deliver web services that are consumed by a Web Application and a Mobile App (both built on a related or shared framework), that both allow common data viewing/editing and usability features. 

The primary aim here is to show how much of the codebase is re-usable across both platfroms ? but without using the same app on both platforms. For example, React.js   (https://reactjs.org/) and React Native (https://reactnative.dev/) are very closely related JavaScript based frameworks for developing Web and Mobile apps (respectively). The aim would be to come up with an architecture/mechanisms to maximise the reuse/sharing of code and objects across these platforms.  

Skills Required: SOFTWARE DESIGN, JAVASCRIPT PROGRAMMING",5,,
?Context Aware Reminders App?: Building a Cross-platform context aware tasks app.,"The project requires you to research and practically evaluate the features available on modern Mobile devices that can be used to provide ?context intelligence? to apps

It is proposed that, for the product, the project develops an intuitive Mobile app that uses on-device features (such as location services, time and information derived from any other suitable device features/sensors) that allow the user to setup reminders that will be triggered on where they are, what time it is and other factors such as if they are walking/driving, etc.

The aim is to to show how the multpile features available on modernm mobile devices can be integrated seamlessly to provide intuitive user experiences of existing applications.

Skills Required: SOFTWARE DESIGN, ANDROID / iOS MOBILE DEVICE PROGRAMMING",5,,
Work with Kainos,"4) Virtual Hangout
This year has definitely been a whirlwind compared to previous years. With everything that has been going on, it has forced everyone to adapt to a new way of working as well as finding new ways in which to connect with family/friends online. Kainos would like to take this further and would like you to create a virtual reality hangout place in which you can invite people/groups for a virtual coffee/tea and for a chat via wearing a VR headset. In addition, you should be able to see who is currently in the room and be able to join whenever you wish.
A working prototype of a VR hangout room designed to work with VR headsets. 
The room should have a unique yet pleasant design, which will make the users want to go and spend time in there. There should be a way of checking who/how many people are currently hanging out. ",5,,
Work with Kainos,"5) Meal Planner 
It was not only once when you could not decide what to have for dinner and ultimately ordered some takeaway. It happens to us all, deciding on meals it?s stressful and time-consuming. But there?s a solution to it all, meal planning ? to help you change the way you eat. 
An application that allows the user to plan meals on a daily and weekly basis. The choice comes from a list of recipes each containing the list of ingredients and the corresponding method. Based on this plan, the application generates a shopping list. 
Consider having the generated shopping list editable so that quantities of ingredients can be customised based on the number of portions and so that items that do not need buying can be removed. ",5,,
Student Proposal,Use facial recognition to match a student?s face to data on the student information system and automatically open the gate and inform the relevant people that this student has arrived. This system reduces the numbers of employees and can increase the security level.,6,,
Student Proposal,"Aim
 Through machine learning (deep learning) and implementation of convolutions make a convolutional neural network. Where the convolution filter passes over an image, processes it, and extracts features that show a commonality in the image. 
Rationale
 Interpreting medical imaging (x-rays, CT, MRI) scans is a highly-skilled, manual job requiring many years of training. AI and computer vision have long been envisaged as a root to faster, more accurate diagnoses while still actively involving doctors in the process ? such as by highlighting key areas in a scanned image.",6,,
Proposing A Movie Recommendation System Using Deep Learning,"Nowadays, recommender systems can be found in every movie streaming, music streaming and online purchasing platforms. A recommender system is a subclass of information filtering system that seeks to predict the ""rating"" or ""preference"" a user would give to an item. This project aims at using deep neural networks to build a recommender system based on the history of a user's preferences in a publicly available dataset. 
Ideally, this project requires a student with strong knowledge or interested in machine learning and neural networks and comfortable coding in Python (or R) programming language.",6,,
Opinion Mining in Social Media: monitoring brand reputation for businesses across social media,"Opinion mining (or sentiment analysis) is the process of using Machine Learning (ML) and Natural Language Processing (NLP) techniques to detect the emotional tone behind a word, a sentence or a whole document. This field of study can be extremely useful for analysing and monitoring the reputation of a brand across social media and specifically during their online campaigns. In this project, the student is required to build (train, test and validate) a machine learning model to extract the comments of users in a social media platform (Facebook, Twitter, Instagram, etc.) and classify them as positive, negative or neutral comments. This can be followed by using statistical measures to analyse the results. 
Ideally, this project requires a student with strong knowledge (or interested) on NLP and ML procedures who is comfortable coding in Python (or R) programming language.",6,,
Financial Fraud Detection Using Machine Learning,"Fraudulent activities on financial transactions impose significant problems to businesses and governments. Discovering such activities in financial data is a challenging task as we need to deal with imbalanced classes. This project aims at using Data Science techniques (data mining, machine learning and statistics) to preprocess financial data, deal with imbalanced data and propose a machine learning method to detect financial frauds in a publicly available dataset. The student is required to choose a dataset related to financial transactions (e.g. credit card transactions, tax return claims, insurance claims, etc.) that can be found in any public database repositories. 
Ideally, this project requires a student with strong knowledge in data science and machine learning (supervised learning in particular) who is comfortable coding in Python (or R) programming language.",6,,
Automatic Music Generation Using Deep Learning,"Music is nothing but a series of notes in an ordered sequence. The ABC notation is a technique to convert the music notes to a format that is understandable by machines. This project aims to build a Machine Learning model to predict the next music note based on the previous ones. In this project, the student requires to use a dataset consisting of ABC notation of different songs (e.g. Irish folk songs) and train a deep learning model able to generate new songs by predicting the next notes from scratch.
Ideally, this project requires a student with strong knowledge (or interested) in machine learning and neural networks (specifically Recurrent Neural Networks) and comfortable coding in Python programming language.",6,,
Concept Drift Detection For Streaming Data,"Datastream mining is the procedure of distilling insights from data that generated continuously in real-time. One of the main challenges in data stream mining is the existence of concept drifts, that is when the data distribution changes over time in unforeseen ways. A concept drift detection method is the way for a learning algorithm of being aware of a change in the concept being learnt so far using statistical analysis and machine learning. This project aims at building a machine learning method able to detect different types of concept drifts in a data stream. 
Ideally, this project requires a student with strong knowledge (or interested) in statistics, machine learning and datastream mining and comfortable coding in Java (or Python) programming language.",6,,
?External Examiner Tracking System?:? a system to track External Examiner details,"This project is about designing and developing a system to track external examiner details for the school.? At the moment, the centre publishes a spreadsheet and allocates a member of staff to track external examiners for their course.? The spreadsheet is updated by staff manually. You are designing/developing an database? system using revolutionary ledger database software to make the whole process automatically.? This project focuses on analysing business requirements and development of a system that meets these requirements. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of relational databases. You should also have the experience with cloud-based storage or be self-motivated and ready to learn.??",7,,
?Event Scheduling system?:? a system to schedule and manage event details for Commonwealth Games,"This project is about designing and developing a system to schedule and manage events for an international sporting event such as? the Commonwealth Games.? You will be learning how to use a new type of database called ledger database to design and develop a database system to meet these requirements.? This project focuses on analysing business requirements and development of a system that meets these requirements. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of relational databases. You should also have the experience with cloud-based storage or be self-motivated and ready to learn.??",7,,
?Student Records System?:  a system to manage University Student records,"This project is about designing and developing a system to manage student records for a University.  As part of the student journey, many events take place that need to be recorded. You will be learning how to use a new type of database called ledger database to design and develop a database system to meet these requirements.  This project focuses on analysing business requirements and development of a system that meets these requirements. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of relational databases. You should also have the experience with cloud-based storage or be self-motivated and ready to learn.  ",7,,
?PlantClass?:  an image recognition system for plant classification,"This project is about developing a machine learning tool to detect plant disease and monitor invasive species. Detecting plant diseases is an important step to mitigate the damage effects on the environment, the economy, and human health that can be caused by such kinds of plants. The following datasets https://www.kaggle.com/emmarex/plantdisease and https://www.kaggle.com/c/invasive-species-monitoring/overview can be used. You should be willing to research into the area of image recognition and deep learning to classify plant images. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of Python. You should be self-motivated and ready to learn.   ",7,,
?Green IT ontology?:  an ontology that represents company culture towards Green IT ,"This project is about designing and developing an ontology to represent company culture towards Green IT. An international survey was carried out to assess company culture and attitude towards Green IT. You should be willing to research into the area of Green IT ontologies and develop a novel ontology which takes the survey data into account. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of languages such as OWL/Prolog. You should be self-motivated and ready to learn.",7,,
Work with Kainos,"2) Jenkins CI Companion app 
As part of Kainos project workflows, software developers often use Jenkins, an automated CI/CD system. It?s hosted on a remote website and might be used by multiple project teams. It would be useful to have an app (or possibly a web service) that connects to Jenkins and can send alerts to the user when a watched pipeline finishes. Ideally it would also allow the user to kick off new pipelines possibly with some parameters being set by the user.  
An app or mobile-friendly website that connects to the Jenkins API and allows the user to receive real-time updates & start new builds  
The app or website must be secure, as Kainos works on some sensitive projects  
It must be possible for multiple users to connect to the same Jenkins instance ",8,,
Informative social media content identification,"Social media services (e.g. Twitter) can facilitate fast and wide spreading of information due to their large user base distributed all over the world. Considering a disaster or outbreak situation, we can use this ability in social media to receive updates quickly.  But, due to the volume of data available, it is a difficult and expensive task to manually extract informative contents to help decision making in such situations. Therefore, it is important to have a methodology which can automatically filter informative contents. 
Referring to the recent literature, different approaches were suggested for informative social media content identification, ranging from traditional machine learning-base methods [1] to deep neural network-based methods [2] [3].  It is important to have a good accuracy by such a system to support real world applications. Even though the deep neural network-based methods outperformed the traditional machine learning-base methods, neural networks require more training data for proper learning. But, large amount of training data preparation is an expensive operation and it restricts the ability to adapt to different situations quickly and easily. Therefore, it is worth focusing on how the models can be improved to learn using small amount of training data while obtaining high accuracy. 
In summary, the focused problem(s), focused areas and required skills and knowledge for this research are as follows.
?	focused problem(s) ? How can we develop a machine learning model to identify informative social media contents with sufficient accuracy and ability to learn using small sized training data?
?	focused areas ? machine learning, deep learning, transfer learning, social media (e.g. Twitter)
?	required skills and knowledge ? programming skills (e.g. Python), self-learning skills, basic understanding on machine learning and deep learning concepts, basic understanding on social media",9,,
Paraphrase detection in Twitter,"A paraphrase is also known as a rewrite which expresses the same meaning using different words. Paraphrases are common in the context of social media due to the diverse user base. For an example, both phrases: ?Aaaaaaaaand stephen curry is on fire? and ?What an incredible performance from Stephen Curry? express the same idea.  To mention the importance of paraphrase detection, it can support improving a lot of tasks related to natural language processing (NLP) such as event detection, text normalisation, information retrieval, text summarisation and question answering. 
Referring to the recent literature, there are various approaches which are based on traditional machine learning methods [4] [5] as well as deep neural networks [6]. However, it is worth to further analyse how the accuracy of available methods can be improved, considering the wide range of applications which can be improved using proper paraphrase detection. In summary, the focused problem(s), focused areas and required skills and knowledge for this research are as follows.
?	focused problem(s) ? What are the limitations in available paraphrase detection methods and how can we improve them?
?	focused areas ? NLP, machine learning, deep learning, Twitter
?	required skills and knowledge ? programming skills (e.g. Python), self-learning skills, basic understanding on NLP, basic understanding on machine learning and deep learning concepts, basic understanding on social media",9,,
Lexical normalisation for social media text,"It is common to have non-standard words such as informal abbreviations (e.g. tmwr for tomorrow), intentionally modified words (e.g. goaaalll for goal) and incorrectly spelled words (e.g. documnt for document) in social media text because they are user-generated. But these inclusions degrade the accuracy of many natural language processing (NLP) and information retrieval (IR) tasks. Therefore, a method which can normalise text (convert non-standard text to standard form) is beneficial for both areas NLP and IR. 
Referring to recent literature, available text normalisation techniques are powered by techniques such as rules [7], neural networks [8] and transformers [9]. Even though the majority of text normalisation methods are only focused on accuracy, it is important to preserve the universality also, without limiting only to specific domains or platforms, so that a wide range of applications can be supported. Further, it is worth if text normalisation can be used with multiple languages.
In summary, the focused problem(s), focused areas and required skills and knowledge for this research are as follows.
?	focused problem(s) ? How can we developed an improved text normalization solution with the focus on accuracy, universality and multiple language support?
?	focused areas ? NLP, machine learning, deep learning, social media (e.g. Twitter)
?	required skills and knowledge ? programming skills (e.g. Python), self-learning skills, basic understanding on NLP, basic understanding on machine learning and deep learning concepts, basic understanding on social media.",9,,
Text-based geolocation prediction for Twitter,"Due to the huge amount of its availability, social media data is considered as an important resource for opinion and news extraction. The use of data can be improved by partitioning them into geographical sub-groups. For examples, grouped data can facilitate the tasks such as local event detection, local security monitoring, geographically-bounded advertising and local recommendations. Even though most of the social media services allow users to insert geographical data separately, the information are missing in majority of documents. Therefore, there is a tendency to extract the location details from text.
Referring to recent literature, there exist different approaches which are based on the techniques such as traditional machine learning [10] [11] and neural networks [12]. However, it is worth to further analyse how the performance of available methods can be improved, considering the wide range of applications which can be improved with location details. In summary, the focused problem(s), focused areas and required skills and knowledge for this research are as follows.
?	focused problem(s) ? What are the limitations in available text-based geolocation prediction methods and how can we improve them?
?	focused areas ? data mining, machine learning, deep learning, Twitter
?	required skills and knowledge ? programming skills (e.g. Python), self-learning skills, basic understanding on data mining concepts, basic understanding on machine learning and deep learning concepts, basic understanding on social media",9,,
Student Proposal,"A MOBILE APPLICATION FOR REPORTING CRIMES IN YOUR LOCAL AREA.
The mobile application will display crimes in your area using a web scraper to extract information from news websites. the application will be created using java and will use a database such as mysql to store the data in.",10,,
Student Proposal,"CRM - Booking system integrated appointment system/app
Own idea 
My own idea due to a different project I did in college where I created symptom checker on a private server using Xampp and Concrete5; I wanted to expand this project to something more advanced system/App to help people with daily or frequent visits to the doctors. ",10,,
Implementation of State Chart Patterns in Java and Python,"State charts are a UML model that describes the dynamic behaviour of a component ? from whole systems to object methods.

Standard patterns of classes and objects have been developed to describe state charts and these have been incorporated into the libraries of various languages. This project will:

1.	Identify state chart patterns
2.	Review the patterns implemented in Java and Python
3.	Generate case studies that use state charts
4.	Implement the case studies 
5.	Critically evaluate the use of state chart patterns
6.	Identify and implement possible enhancements",10,,
